#  nordDev  eastDev   focusAngle              
-12.13   -30.76   19.67
-19.79   -19.57   25.16
4.67   -37.03   25.85
-5.72   -29.31   21.06
-11.50   -21.47   25.10
-39.25   -31.16   21.26
-47.13   -17.71   26.85
-21.80   -36.74   27.03
10.43   -38.11   26.66
-0.95   -26.92   18.91
-8.64   -17.76   21.33
10.93   -220.33   19.78
2.99   -206.77   4.42
2.83   -199.13   13.38
104.03   4.76   23.74
98.07   17.39   17.22
86.18   31.21   22.36
37.77   15.28   35.30
30.68   26.72   25.38
24.26   27.50   19.68
-4.33   -9.05   3.75
-11.17   7.27   13.28
-43.65   -26.72   31.29
-19.45   10.77   15.57
6.74   -34.27   23.10
-1.40   -19.28   22.15
24.11   -29.08   24.92
14.99   -10.86   20.70
7.53   5.48   5.55
-0.05   20.05   13.04
38.37   22.99   28.81
30.23   29.59   21.17
14.80   42.72   22.71
6.85   34.24   23.48
-17.51   -27.66   16.65
-23.26   -16.42   18.66
-27.68   -9.75   29.14
13.95   3.79   21.84
11.62   18.37   13.24
-1.30   30.71   18.29
32.48   0.52   34.19
24.07   3.80   22.70
19.45   14.70   11.53
11.46   23.05   15.50
22.81   48.96   33.25
-1.33   -40.89   26.05
-8.49   -29.45   26.20
-16.14   -21.59   28.77
-11.88   -31.63   23.82
-4.05   -44.78   26.62
-2.93   -9.56   13.08
3.56   -25.83   16.61
-2.71   8.61   8.48
3.82   -9.71   8.57
5.35   -5.20   7.00
13.59   -19.58   17.73
12.89   -19.13   15.87
23.78   -30.31   26.48
-15.36   -22.02   28.87
-10.52   -32.20   24.01
-1.41   -45.54   27.15
-1.27   16.96   13.71
5.66   0.83   4.34
12.47   -11.38   20.14
-27.95   -34.68   32.98
-20.65   -44.68   28.94
-4.28   9.60   14.70
2.66   -6.71   5.10
11.19   -19.60   19.86
-14.48   12.09   21.82
-7.70   0.54   6.10
0.66   -16.93   11.86
-12.62   -6.09   22.19
-6.42   -16.04   13.62
2.83   -32.59   19.96
-3.91   48.75   31.57
0.94   37.64   23.06
12.08   24.93   22.47
15.68   13.59   29.64
-103.58   102.08   31.36
-111.84   111.11   31.80
-100.91   -28.94   27.40
-110.17   -17.39   15.71
-119.12   -3.36   15.81
-126.10   7.72   27.73
27.89   0.12   33.31
24.30   4.58   21.14
15.25   16.39   10.70
5.50   29.25   19.28
-6.11   -33.74   18.01
-11.94   -17.02   13.96
-18.14   -3.72   24.35
-0.78   -10.56   11.20
-6.98   6.26   6.73
-19.47   18.71   21.91
-5.80   39.85   25.92
5.25   29.32   20.19
11.02   15.15   24.10
-0.69   15.92   12.80
7.21   -0.93   4.72
14.56   -15.17   21.04
-15.34   28.57   22.99
-5.53   15.24   14.35
-17.15   38.32   28.51
-6.50   26.06   21.07
-17.68   44.50   32.23
-6.85   43.79   29.23
23.22   5.60   32.47
19.39   11.38   22.00
13.20   23.13   15.59
4.42   38.43   22.74
21.66   -7.10   25.55
16.21   4.53   11.95
7.47   19.23   8.96
-5.54   14.16   13.20
-14.58   25.54   21.22
18.39   11.74   26.30
13.38   21.31   18.14
4.81   33.91   19.93
13.39   -7.01   19.84
6.01   3.28   6.20
-1.37   18.83   13.57
5.60   9.19   14.13
-1.61   22.42   14.20
-0.05   -16.63   12.82
-4.99   -3.27   5.00
-12.91   8.85   19.88
-5.49   -25.69   13.79
-13.88   -10.82   13.27
-19.44   -3.98   24.84
-20.74   -22.81   21.57
-12.02   -36.84   23.75
-16.81   -25.58   26.52
23.35   -8.75   26.83
16.93   1.61   12.47
9.78   17.63   7.70
13.35   -11.49   20.47
5.91   2.53   5.03
0.25   19.48   14.24
19.29   -1.51   24.40
12.22   7.70   11.67
5.96   25.53   14.43
17.02   -18.33   23.59
9.09   -5.52   7.92
3.97   12.23   10.01
18.92   25.03   29.29
10.01   34.76   24.98
2.00   45.73   28.14
21.61   26.04   27.62
13.99   38.53   24.66
15.54   4.86   24.04
10.25   17.79   15.17
2.17   32.09   19.43
-3.09   -14.84   11.58
-7.81   1.11   5.97
-41.66   14.10   29.33
-45.66   22.51   20.64
-54.00   35.62   20.24
10.11   5.88   26.40
5.91   16.44   16.95
-2.53   28.98   18.37
-28.48   14.26   22.85
11.31   37.11   28.84
1.99   47.13   29.10
30.16   19.25   28.92
24.84   27.73   20.52
25.85   27.72   30.30
20.76   36.53   25.01
31.04   13.09   28.55
26.28   23.11   18.68
10.02   44.08   29.25
25.38   2.90   18.00
1.82   -43.27   25.79
-9.24   -30.81   17.48
-17.59   -14.55   21.01
-23.87   -3.31   31.57
-393.34   347.93   34.29
21.48   -1.98   33.23
12.19   4.69   20.81
6.89   16.31   11.71
-4.08   33.08   21.33
-7.16   29.51   20.91
